MINI_RAT	mini-rat
SMALL_SPIDER	small-spider
SMALL_BAT	small-bat
SMALL_RAVEN	small-raven
MEDIUM_DOG	medium-dog
MEDIUM_RAT	medium-rat
LARGE_SPIDER	large-spider
MEDIUM_BEAR	medium-bear
LARGE_BEAR	large-bear
SWORD_MALE	sword-male
BOW_MALE	bow-male
DAGGER_FEMALE	dagger-female
SPEAR_MALE	spear-male
BLUNT_MALE	blunt-male
CROSSBOW_MALE	crossbow-male
WAND_APPRENTICE	wand-male_001
SWORD_KNIGHT	sword-knight
TWOHAND_SOLDIER	twohand-soldier
STAFF_PRIEST	staff-priest
INFECTED_MALE	infected-male
MUTANT_MALE	mutant-male
SPORE_HYBRID	spore-hybrid_001
DEADTREE_STALK	knuckle-deadtree_stalk
DISEASE_HYBRID	disease-hybrid
MUTANT_FATMAN	mutant-fatman
TEMPLE_SERVANT	servant-male
HALIDOM_KEEPER	halidom-female
VEDA_STATUE	statue-statue_of_veda
FORGE_OVERSEER	hammer-male_001
HAMMER_TANKER	hammer-tanker
ROCK_GOLEM	golem-etc
CURSED_CASTER	staff-male
ARCANE_MAGE	wand-female_001
GRAND_MAGUS	wand-male_002
ABYSS_JAILER	jailer-male
GARGOYLE	twohand-gargoyle
ABYSS_DEVILMAN	twohand-devilman
CROW_REAPER	twohand-crowman
GOATHEAD_BLADE	sword-goathead
WHITE_WOLF_KING	white-wolf
